episode,episode_return,starts,on_steps,cap_factor
1,24.555423711405123,1,89,0.4710120924313863
2,47.43750340810102,1,92,0.35708103319009143
3,4.020088019883953,1,90,0.47473002870877584
4,11.229433561528127,1,91,0.46227314551671345
5,23.20096377816756,0,96,0.5277278423309326
6,19.50921094340962,1,90,0.4452489103873571
7,42.03845775230646,0,96,0.43555879284938176
8,16.116933037471092,1,87,0.40845083594322207
9,19.680551070045137,1,90,0.4487372875213623
10,59.27746384601919,1,95,0.44245651563008626
11,116.53061314399827,0,96,0.5219504833221436
12,58.1892341496139,1,96,0.5378395907084147
13,121.08639532117166,1,94,0.46263991196950277
14,22.613826590242105,0,96,0.5539601717392604
15,12.273466330744418,0,96,0.47210695286591847
16,16.47212690298208,1,91,0.5126968300473577
17,40.98702170608303,1,92,0.8709756034088755
18,45.62732719809934,1,90,0.8452460249590911
19,160.13627257736647,1,96,0.8917267293122741
20,61.44152955846339,0,96,0.8261898148694663
21,46.800401607446595,0,96,0.9124106923878246
22,136.64812094670577,0,96,0.9010977966323162
23,99.60986880380275,1,92,0.8230178755197022
24,64.02249984629182,1,90,0.8230663588342024
25,69.90284533914905,1,92,0.8901523839508936
26,33.87039628370357,1,96,0.9113499057394147
27,133.21886791498238,0,96,0.8945453622281171
28,246.35762660311644,0,96,0.9326257454693168
29,50.31059334411191,0,96,0.9257467177943575
30,42.63771954309592,1,92,0.8851890980191407
31,37.11885378706172,0,96,0.8988550371170644
32,26.978663823682524,1,92,0.8762880768909876
33,184.73488819097463,1,91,0.854966981394539
34,24.332723538097827,1,94,0.884696473408988
35,88.15274416991957,1,90,0.8675062951948772
36,36.04492963955585,1,94,0.9044147933430292
37,195.25617703714516,1,90,0.8668737377733945
38,44.60936228118495,1,95,0.8858730360017082
39,21.032380284807296,0,96,0.9115010502381555
40,176.9016588516499,1,93,0.8922961131899226
41,86.90832259122405,0,96,0.9014748181922299
42,113.59869727264262,0,96,0.926286936886667
43,37.48563111298542,0,96,0.9334583512880241
44,169.17218012336403,0,96,0.9210532454996218
45,284.6633218267906,0,96,0.9154153183376117
46,26.094327725616587,1,92,0.8756896940666349
47,73.41636742217155,1,95,0.916733426727933
48,133.87529861952325,1,89,0.8425425699997152
49,85.14372355703564,0,96,0.9257930839602576
50,85.53933271149587,1,94,0.8911636937554717
51,180.15673295254518,1,96,0.917617885302509
52,39.59122692712971,1,93,0.8705675091160013
53,30.767609603624578,0,96,0.883392419003359
54,31.506466490578234,0,96,0.927445569061781
55,48.27674852933439,0,96,0.9245614144487845
56,38.43093848030452,1,94,0.8649936962780403
57,57.7414026400787,1,90,0.8398668303979497
58,28.651494392189793,1,91,0.8716733700031305
59,32.90223826740203,0,96,0.9220731847768555
60,22.979610940461676,0,96,0.9353014015333029
