episode,episode_return,starts,on_steps,cap_factor
1,25.478632364214985,1,96,0.4658134826024373
2,35.444874004930824,0,96,0.4751383167505264
3,17.555785758717715,0,96,0.5090906465053558
4,117.60258850743182,1,92,0.4113640144964059
5,21.378793674086516,1,96,0.4422702068090439
6,77.48960940532805,1,95,0.4729708198706309
7,35.5062921521332,0,96,0.4897463071346283
8,84.57821423608829,1,88,0.3898857432603836
9,48.63974994519301,0,96,0.46227033774058024
10,1.2032943190277166,1,94,0.4302874449888865
11,120.75445511981822,0,96,0.4703303494056066
12,69.64235503259718,1,96,0.46775976061820984
13,60.60618801837546,1,94,0.5155978411436081
14,19.225836759906045,0,96,0.5373802804946899
15,37.003244714406364,1,87,0.4654248688618342
16,103.32321150236945,0,96,0.4846574131022932
17,25.730717172398773,1,88,0.32277438942129943
18,7.189522570598032,4,50,0.08102637939066969
19,-0.04203578957075906,4,40,0.05888811986302593
20,6.127166834298227,3,76,0.14290895599022443
21,25.646025368796707,0,96,0.33474176725837085
22,57.47013858284384,0,96,0.4677615761193478
23,180.92121882363094,0,96,0.6546969854935746
24,19.585541593338753,0,96,0.5955423323095127
25,83.01879395893951,0,96,0.6962261666312767
26,24.71011926177468,0,96,0.49876211437567664
27,22.898875792618377,1,96,0.517614940004626
28,25.902153101011717,1,96,0.5785719535486705
29,16.272971035321774,0,96,0.472952213053888
30,285.61770649405724,0,96,0.8556962623522416
31,9.632934491907793,1,92,0.38166763240845486
32,15.36862961099746,0,96,0.3886541108540816
33,310.1278224283618,0,96,0.9106918628022851
34,39.293788609939476,1,89,0.7117482851735801
35,128.04369656154344,0,96,0.9115166202923807
36,178.14431550527212,0,96,0.8693690920522311
37,43.097086543073075,1,94,0.8856695776239777
38,65.83236663872195,0,96,0.8994463804008827
39,169.73090903000877,1,89,0.8282701470497189
40,158.58779953428837,1,92,0.8624426713544091
41,44.44832643668277,1,90,0.8449151739870054
42,53.88888796977004,1,92,0.8389298717781225
43,14.406130687033178,1,91,0.8703244915732675
44,230.1147198920786,1,93,0.8774369196943913
45,21.981957479304373,0,96,0.9149778915460907
46,236.6232283545488,0,96,0.8961130619329951
47,34.149090702722475,0,96,0.9045692545450618
48,120.89395038639327,0,96,0.919925006057063
49,27.856988559231894,1,91,0.8829896482416052
50,38.79980405204106,1,89,0.8524087984271226
51,79.40144461927854,0,96,0.9326440050371582
52,65.84458556429958,0,96,0.9101674206326553
53,82.1309886671688,0,96,0.9192412823193267
54,151.71000768547145,0,96,0.9095601018034741
55,33.17068580520498,0,96,0.9279702275319655
56,69.76778772927372,1,92,0.8879625359450077
57,63.59835640862089,0,96,0.9050424141149843
58,90.26821357542953,0,96,0.9198969629773146
59,27.919435082761986,0,96,0.9413690849591315
60,56.18716532683635,1,91,0.8690572445108938
