episode,episode_return,starts,on_steps,cap_factor
1,24.555423711405123,1,89,0.4710120924313863
2,47.43750340810102,1,92,0.35708103319009143
3,4.020088019883953,1,90,0.47473002870877584
4,11.229433561528127,1,91,0.46227314551671345
5,23.20096377816756,0,96,0.5277278423309326
6,19.50921094340962,1,90,0.4452489103873571
7,42.03845775230646,0,96,0.43555879284938176
8,16.116933037471092,1,87,0.40845083594322207
9,19.680551070045137,1,90,0.4487372875213623
10,59.27746384601919,1,95,0.44245651563008626
11,116.53061314399827,0,96,0.5219504833221436
12,58.1892341496139,1,96,0.5378395907084147
13,121.08639532117166,1,94,0.46263991196950277
14,22.613826590242105,0,96,0.5539601717392604
15,12.273466330744418,0,96,0.47210695286591847
16,15.108660941533422,1,91,0.4714297986670154
17,16.142647544097567,1,87,0.364074964314857
18,17.109431492738352,1,90,0.346045282243387
19,50.155389514582765,3,78,0.2931569014282448
20,36.57225452749912,0,96,0.5265162475951046
21,36.52228642450594,0,96,0.7256582963781644
22,82.35932557219525,1,85,0.537255690069731
23,36.16532747508325,2,72,0.3347254991350323
24,18.918591784884928,2,79,0.30319965082363914
25,42.05627352160542,1,92,0.5459194228393623
26,10.884954798286444,2,87,0.3000112366142129
27,48.696530002751935,2,78,0.35498386065485404
28,221.4448225404872,0,96,0.8182170514092575
29,41.052513610087544,0,96,0.7912822283844266
30,41.264597351266595,1,92,0.8565098781105256
31,28.866401397634746,0,96,0.7579377711145782
32,24.90521543444964,1,92,0.7925646932659735
33,164.05648705334445,1,91,0.7679538551519942
34,20.554410846048448,1,94,0.7959352785742666
35,84.55406510793556,1,90,0.8328635842869239
36,33.26912515416441,1,94,0.8508276742018392
37,188.17493550745994,1,90,0.8344073958992786
38,37.6675942313709,1,95,0.7567223910838907
39,17.49411032584402,0,96,0.828946454226392
40,167.35266760110937,1,93,0.8324452843706056
41,70.88131038191935,0,96,0.725761498916306
42,106.85987063879767,0,96,0.8578264908452499
43,34.958521614733336,0,96,0.8776507693556566
44,156.87651977699457,0,96,0.8444476901108099
45,256.89668653457954,0,96,0.8112312951617583
46,23.84154057785534,1,92,0.8093099069057794
47,68.86137580617594,1,95,0.8731533956713736
48,116.21477666671981,1,89,0.7364548060534335
49,79.68610342329916,0,96,0.8587077601722207
50,77.10531084979466,1,94,0.804870907270252
51,166.45003453146882,1,96,0.8523638530605708
52,33.94375687346748,1,93,0.7559080562804529
53,23.203737897457128,0,96,0.6991422799629471
54,29.268904904133738,0,96,0.8652582829428589
55,43.92396467465247,0,96,0.849153428475418
56,31.700001161307057,1,94,0.6832093400808916
57,49.62127171741016,1,90,0.7250448808972336
58,26.768116285151418,1,91,0.8171206989773941
59,28.662009082160523,0,96,0.8408444416929034
60,21.630895147619054,0,96,0.8874882565145527
