episode,episode_return,starts,on_steps,cap_factor
1,25.615997388400164,1,96,0.4658134826024373
2,35.574955568498936,0,96,0.4751383167505264
3,17.689732596333684,0,96,0.5090906465053558
4,117.73038014656913,1,92,0.4113640144964059
5,21.5129600452413,1,96,0.4422702068090439
6,77.62060623607759,1,95,0.4729708198706309
7,35.6357433125641,0,96,0.4897463071346283
8,84.70000799409914,1,88,0.3898857432603836
9,48.76998450406142,0,96,0.46227033774058024
10,1.3337366110504207,1,94,0.4302874449888865
11,120.89047790309755,0,96,0.4703303494056066
12,69.77894612909377,1,96,0.46775976061820984
13,60.735647433811266,1,94,0.5155978411436081
14,19.359173538928264,0,96,0.5373802804946899
15,37.12791092000329,1,87,0.4654248688618342
16,105.50614067154126,0,96,0.49485082155974786
17,69.30488357803175,1,94,0.863149471345144
18,58.329658162988714,1,90,0.5605859590282856
19,8.152615823278317,1,87,0.34822884052968683
20,59.41256968336091,1,94,0.8357141021763588
21,74.21575372016105,0,96,0.8961238284994899
22,102.47309620599069,0,96,0.8718380920342834
23,240.16176156730077,0,96,0.9080617181770057
24,28.780511845129304,0,96,0.8477213032778824
25,105.63204780525258,0,96,0.8953603196327704
26,37.343633915974294,0,96,0.7697518191953283
27,38.53813513421687,1,96,0.8436258459988326
28,43.5681599918264,1,96,0.9124234172176362
29,29.800888332294033,0,96,0.8414110883011393
30,312.1593121653475,0,96,0.9424176451895329
31,24.675412333286065,1,92,0.8801152390115823
32,34.000178652913895,0,96,0.9069022775143348
33,303.47091331796366,0,96,0.889316124859339
34,42.22872121908586,1,89,0.7696440874558282
35,124.22113950216759,0,96,0.889036177520792
36,161.80557268538885,0,96,0.7839813047745181
37,41.472140040504996,1,94,0.852440166233847
38,61.269848408879554,0,96,0.8466004565364512
39,161.7058578439646,1,89,0.7891281495304867
40,153.15109421676988,1,92,0.8289913209291785
41,42.743639462699214,1,90,0.8107008791782874
42,49.07754260652296,1,92,0.7757820558229372
43,14.215410987337524,1,91,0.8508367999432758
44,222.11295261872573,1,93,0.8407737155241367
45,21.157373973487694,0,96,0.8771223948333352
46,220.9451031157055,0,96,0.8365799610204737
47,32.01547311649513,0,96,0.8594090173702805
48,117.78481555957892,0,96,0.8961765654845653
49,27.67096272898071,1,91,0.8750866313274885
50,38.01149321295588,1,89,0.8360088010328374
51,77.91040753726243,0,96,0.9111568004388146
52,63.301530005347956,0,96,0.8692588769305049
53,78.69122957759626,0,96,0.8839177629335471
54,144.89645957415303,0,96,0.86950793169959
55,32.58859591485109,0,96,0.9030963521171507
56,68.51486363412666,1,92,0.8748989107440446
57,59.75470829347492,0,96,0.8549892532273469
58,88.94636023021756,0,96,0.8921300204529152
59,27.381251787172488,0,96,0.923300851037203
60,55.033788021629384,1,91,0.8473438990722398
