episode,episode_return,starts,on_steps,cap_factor
1,24.43208890610728,1,89,0.4710120924313863
2,47.31050923486036,1,92,0.35708103319009143
3,3.8966862170580208,1,90,0.47473002870877584
4,11.101652676213188,1,91,0.46227314551671345
5,23.069518390899496,0,96,0.5277278423309326
6,19.38739647960347,1,90,0.4452489103873571
7,41.90726890953303,0,96,0.43555879284938176
8,15.996063741969387,1,87,0.40845083594322207
9,19.557769004462862,1,90,0.4487372875213623
10,59.15219188862173,1,95,0.44245651563008626
11,116.40203427436934,0,96,0.5219504833221436
12,58.05231210371546,1,96,0.5378395907084147
13,120.94922796429923,1,94,0.46263991196950277
14,22.48076407269451,0,96,0.5539601717392604
15,12.136872214533478,0,96,0.47210695286591847
16,15.190178318015233,1,91,0.4798852736334148
17,23.64635549226729,1,92,0.5193881857693953
18,42.90385448254388,1,90,0.7996148729783533
19,158.33317326799522,1,96,0.8819898366774795
20,70.74524968500522,0,96,0.9291195164885516
21,48.2620560181089,0,96,0.9367699026564155
22,136.48776139668206,0,96,0.9003201710678926
23,99.41011036541435,1,92,0.8220109265717958
24,63.90989347043185,1,90,0.8224222389548994
25,69.86447309067813,1,92,0.8901260688975896
26,33.808706665445875,1,96,0.9112431252103924
27,133.1130771411384,0,96,0.8941733243405439
28,246.31000788018514,0,96,0.9325871772905041
29,50.26401593807457,0,96,0.9256741980151522
30,42.596786812329555,1,92,0.8851857236015178
31,37.04620532186959,0,96,0.8987193332354828
32,26.938849875326035,1,92,0.8762867290312871
33,184.67748537495268,1,91,0.8549583657418189
34,24.275587196248814,1,94,0.8846702243181576
35,88.10758892606535,1,90,0.8674171067780784
36,35.99997824959429,1,94,0.9044064916081049
37,195.22025767716917,1,90,0.8668703673294147
38,44.551391583332,1,95,0.8858488238002719
39,20.97274341877922,0,96,0.9114782351695927
40,176.85960154190462,1,93,0.8922953534293839
41,86.82029811833542,0,96,0.9012962744656267
42,113.54401364264783,0,96,0.9262384473160493
43,37.44553195141326,0,96,0.93345462639509
44,169.11355587285462,0,96,0.9210224251299013
45,284.6109751767565,0,96,0.9154145895714882
46,26.041125781809292,1,92,0.8756883835591783
47,73.37447205608288,1,95,0.9167303781490349
48,133.81460135984668,1,89,0.8425157280413513
49,85.09488148433036,0,96,0.9257044605954912
50,85.48532175059147,1,94,0.8911022389825225
51,180.11564125960004,1,96,0.9176039886782618
52,39.52737484405189,1,93,0.8705591310871317
53,30.699869828347857,0,96,0.8833813524076457
54,31.450486159238206,0,96,0.9274404176310153
55,48.21955081302431,0,96,0.9245100360397167
56,38.37656379550528,1,94,0.8649852602339831
57,57.679523359290116,1,90,0.8398399336033128
58,28.612355524212848,1,91,0.8716705320273106
59,32.85536248720336,0,96,0.922055005360199
60,22.9391352564109,0,96,0.9353006028310629
