episode,episode_return,starts,on_steps,cap_factor
1,25.615997388400164,1,96,0.4658134826024373
2,35.574955568498936,0,96,0.4751383167505264
3,17.689732596333684,0,96,0.5090906465053558
4,117.73038014656913,1,92,0.4113640144964059
5,21.5129600452413,1,96,0.4422702068090439
6,77.62060623607759,1,95,0.4729708198706309
7,35.6357433125641,0,96,0.4897463071346283
8,84.70000799409914,1,88,0.3898857432603836
9,48.76998450406142,0,96,0.46227033774058024
10,1.3337366110504207,1,94,0.4302874449888865
11,120.89047790309755,0,96,0.4703303494056066
12,69.77894612909377,1,96,0.46775976061820984
13,60.735647433811266,1,94,0.5155978411436081
14,19.359173538928264,0,96,0.5373802804946899
15,37.12791092000329,1,87,0.4654248688618342
16,105.00260263672583,0,96,0.4919126740459963
17,42.17815415259823,1,94,0.5195438322589634
18,45.11416969272921,1,90,0.4406813973660512
19,10.611728648291223,0,96,0.42094229580005854
20,30.93337911786268,1,94,0.4546502574906769
21,38.65728887028017,0,96,0.4902804811219266
22,55.44993083698255,0,96,0.4663012869539975
23,129.627302931903,0,96,0.468807403537288
24,13.121452427280602,0,96,0.41175775111023766
25,47.21639021944038,0,96,0.39948238200169395
26,11.03694515305335,1,87,0.2132766999564349
27,6.213464746835661,3,78,0.18358760011192138
28,5.82322441047008,3,78,0.21111413372898344
29,1.303982871796976,4,58,0.09308038376216889
30,142.1321591410217,0,96,0.42762992545120104
31,1.2758589861219742,3,74,0.12621628036522178
32,4.454233126159261,2,78,0.14954453145073554
33,223.98548466892314,0,96,0.6338814354167654
34,12.216577059290838,1,89,0.23637800569968964
35,66.687495241289,0,96,0.4885399131558888
36,87.12649818271287,0,96,0.4083205469298266
37,14.37446445012812,1,94,0.31330608405693916
38,23.287115766240817,0,96,0.3431171614266184
39,122.10168553115066,1,89,0.5816988844557012
40,91.8349401773757,1,92,0.4955452606013486
41,24.67874565394281,1,90,0.4797749056580017
42,27.676535913177677,1,92,0.46303983513698
43,8.386200237477041,1,91,0.5351437271157661
44,175.85772874663633,1,93,0.6430027512844372
45,12.485547748009159,0,96,0.5361368532870244
46,160.66692413117732,0,96,0.6004192979289275
47,24.99190166700118,0,96,0.6797040219982319
48,95.72309324867662,0,96,0.7384291185729154
49,20.91411648712627,1,91,0.6764492880589777
50,27.01877295725352,1,89,0.5975700170969861
51,58.59724971178742,0,96,0.6889777634357124
52,57.89446505236395,0,96,0.7937478904602735
53,61.39749095022378,0,96,0.690195778513841
54,121.06170480231357,0,96,0.7478161555374554
55,30.99061131962129,0,96,0.8868565595034232
56,68.37534855756863,1,92,0.8731864278569162
57,62.92215204855617,0,96,0.8954151925022483
58,86.70465350952259,0,96,0.8942126668180477
59,27.95238596119694,0,96,0.9412696604380032
60,55.450382508299086,1,91,0.8587726847189293
