episode,episode_return,starts,on_steps,cap_factor
1,24.555423711405123,1,89,0.4710120924313863
2,47.43750340810102,1,92,0.35708103319009143
3,4.020088019883953,1,90,0.47473002870877584
4,11.229433561528127,1,91,0.46227314551671345
5,23.20096377816756,0,96,0.5277278423309326
6,19.50921094340962,1,90,0.4452489103873571
7,42.03845775230646,0,96,0.43555879284938176
8,16.116933037471092,1,87,0.40845083594322207
9,19.680551070045137,1,90,0.4487372875213623
10,59.27746384601919,1,95,0.44245651563008626
11,116.53061314399827,0,96,0.5219504833221436
12,58.1892341496139,1,96,0.5378395907084147
13,121.08639532117166,1,94,0.46263991196950277
14,22.613826590242105,0,96,0.5539601717392604
15,12.273466330744418,0,96,0.47210695286591847
16,15.335114819414969,1,91,0.4807375413755718
17,25.695482769242176,1,92,0.5568915906659299
18,38.12248314831396,1,90,0.7142920778777168
19,149.68380536934367,1,96,0.8310326879049903
20,69.44724235101458,0,96,0.9113208420111342
21,47.99442316500397,0,96,0.9307743247746117
22,134.772111861286,0,96,0.886858807575048
23,97.67403348663359,1,92,0.8079282464813999
24,63.214623688647734,1,90,0.8106936204506922
25,69.75240917835228,1,92,0.8884449957299466
26,33.776738565250646,1,96,0.9087046543589471
27,132.63527638055672,0,96,0.8894675403593819
28,246.28597396556714,0,96,0.9321235288172854
29,50.22948992811718,0,96,0.9244464704468347
30,42.625840071919534,1,92,0.8849690070565468
31,37.02030744119728,0,96,0.8970951535543407
32,26.97506602842388,1,92,0.8761674585476343
33,184.7313352751058,1,91,0.8549475558434424
34,24.32746167768273,1,94,0.88458218507891
35,88.14170184069707,1,90,0.8673828245705894
36,36.040262948447,1,94,0.9043039613890244
37,195.25421984697553,1,90,0.8668641771883726
38,44.596336007487515,1,95,0.8856359231616915
39,21.029407809915178,0,96,0.9114219683849247
40,176.90144183048815,1,93,0.892294530885286
41,86.87535052518768,0,96,0.9011303987128597
42,113.59035983256146,0,96,0.9261841633792308
43,37.4851215632482,0,96,0.9334399231213169
44,169.16497538623503,0,96,0.9210037704655438
45,284.66305302894335,0,96,0.9154140102143411
46,26.094161845265518,1,92,0.8756847095288744
47,73.41580323208179,1,95,0.9167267072976453
48,133.87346118571833,1,89,0.8425295753924256
49,85.14203466827561,0,96,0.9257721317355261
50,85.53812098596426,1,94,0.8911516901747425
51,180.15641672583988,1,96,0.9176158714602441
52,39.59111074198965,1,93,0.8705654984526509
53,30.767521322849607,0,96,0.8833906769582743
54,31.50641274517417,0,96,0.9274443539217562
55,48.27660765371196,0,96,0.9245588927749462
56,38.4309218426868,1,94,0.8649933346765287
57,57.74137342100313,1,90,0.8398662907772324
58,28.65149018684985,1,91,0.8716732396676405
59,32.90222188839212,0,96,0.922072889932546
60,22.979610214072686,0,96,0.935301385638731
