split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
val,10,96,-0.11289998481050215,nan,nan,nan,nan,nan
train,11,96,-0.771799354553221,47.72727272727273,59.61538461538461,nan,nan,nan
val,11,96,0.0,nan,nan,nan,nan,nan
train,12,96,7.508299859426916,35.41666666666667,56.25,nan,nan,nan
val,12,96,-7.325601501464845,nan,nan,nan,nan,nan
train,13,96,1.6777002716064453,48.97959183673469,46.808510638297875,nan,nan,nan
val,13,96,-20.574898147583006,nan,nan,nan,nan,nan
train,14,96,7.126499128341675,47.82608695652174,46.0,nan,nan,nan
val,14,96,-15.967198944091797,nan,nan,nan,nan,nan
train,15,96,0.6640998840332033,62.5,43.75,nan,nan,nan
val,15,96,11.75350061416626,nan,nan,nan,nan,nan
train,16,96,3.471800100207329,46.93877551020408,46.808510638297875,nan,nan,nan
val,16,96,0.9171004343032825,nan,nan,nan,nan,nan
train,17,96,2.3025001054629692,29.78723404255319,51.02040816326531,nan,nan,nan
val,17,96,-0.385,nan,nan,nan,nan,nan
train,18,96,-6.646700019836428,38.297872340425535,63.26530612244898,nan,nan,nan
val,18,96,6.476800231933596,nan,nan,nan,nan,nan
train,19,96,-4.7770999145507815,54.347826086956516,40.0,nan,nan,nan
val,19,96,-9.913300323486327,nan,nan,nan,nan,nan
train,20,96,-0.2664699506759646,41.66666666666667,56.25,nan,nan,nan
val,20,96,-35.94950012207032,nan,nan,nan,nan,nan
train,21,96,14.135199890136713,50.0,35.41666666666667,0.11591003835201263,0.999924,0.4000479999999996
val,21,96,6.744100685119632,nan,nan,nan,nan,nan
train,22,96,7.027800297737121,50.0,41.66666666666667,0.039918046444654465,0.9994680000000002,0.40033599999999725
val,22,96,-6.367300099637358,nan,nan,nan,nan,nan
train,23,96,1.7040900659561158,63.829787234042556,46.93877551020408,0.020528635010123253,0.9990120000000005,0.4006239999999949
val,23,96,1.9858000946044911,nan,nan,nan,nan,nan
train,24,96,0.19300005435943612,60.416666666666664,50.0,0.012308603152632713,0.9985560000000007,0.4009119999999925
val,24,96,15.03989990234375,nan,nan,nan,nan,nan
train,25,96,-10.699099617004395,56.52173913043478,42.0,0.03089018352329731,0.9981000000000009,0.4011999999999901
val,25,96,-5.663501052856446,nan,nan,nan,nan,nan
train,26,96,1.9590000343322755,51.06382978723404,63.26530612244898,0.012243755161762238,0.9976440000000011,0.40148799999998774
val,26,96,-8.792700223922727,nan,nan,nan,nan,nan
train,27,96,0.6265999221801757,50.0,56.25,0.012468460947275162,0.9971880000000013,0.40177599999998537
val,27,96,-28.612398681640627,nan,nan,nan,nan,nan
train,28,96,4.406400833129883,48.93617021276596,59.183673469387756,0.011805322952568531,0.9967320000000015,0.402063999999983
val,28,96,-10.912899549603468,nan,nan,nan,nan,nan
train,29,96,0.6521998596191408,52.083333333333336,39.58333333333333,0.013514842838048935,0.9962760000000017,0.4023519999999806
val,29,96,-2.510899889469147,nan,nan,nan,nan,nan
train,30,96,9.083300628662109,34.78260869565217,56.00000000000001,0.025531169027090073,0.9958200000000019,0.40263999999997824
val,30,96,-2.828099570274355,nan,nan,nan,nan,nan
train,1,96,1.506700134277342,47.91666666666667,54.166666666666664,nan,nan,nan
val,1,96,-6.057800347805023,nan,nan,nan,nan,nan
train,2,96,-0.9398998689651489,37.5,66.66666666666666,nan,nan,nan
val,2,96,0.0,nan,nan,nan,nan,nan
train,3,96,-3.6725400257110605,39.130434782608695,60.0,nan,nan,nan
val,3,96,11.504299545288083,nan,nan,nan,nan,nan
train,4,96,2.136010172273964,56.25,64.58333333333334,nan,nan,nan
val,4,96,2.887600402832031,nan,nan,nan,nan,nan
train,5,96,0.4856999206542974,42.5531914893617,42.857142857142854,nan,nan,nan
val,5,96,-0.4482994413375866,nan,nan,nan,nan,nan
train,6,96,1.8567999243736266,40.42553191489361,63.26530612244898,nan,nan,nan
val,6,96,-6.263800506591798,nan,nan,nan,nan,nan
train,7,96,-1.0051098251342783,41.66666666666667,62.5,nan,nan,nan
val,7,96,-2.328100352287293,nan,nan,nan,nan,nan
train,8,96,-5.050400075912475,45.83333333333333,56.25,nan,nan,nan
val,8,96,-18.742000076025718,nan,nan,nan,nan,nan
train,9,96,7.664999771118163,71.42857142857143,29.78723404255319,nan,nan,nan
val,9,96,5.852099781036377,nan,nan,nan,nan,nan
train,10,96,-2.3687000894546517,52.083333333333336,58.333333333333336,nan,nan,nan
val,10,96,-5.951499952767043,nan,nan,nan,nan,nan
train,11,96,-0.771799354553221,47.72727272727273,59.61538461538461,nan,nan,nan
val,11,96,0.0,nan,nan,nan,nan,nan
train,12,96,7.508299859426916,35.41666666666667,56.25,nan,nan,nan
val,12,96,10.05820068359375,nan,nan,nan,nan,nan
train,13,96,1.6777002716064453,48.97959183673469,46.808510638297875,nan,nan,nan
val,13,96,-15.290099258422854,nan,nan,nan,nan,nan
train,14,96,7.126499128341675,47.82608695652174,46.0,nan,nan,nan
val,14,96,-6.272600860595703,nan,nan,nan,nan,nan
train,15,96,0.6640998840332033,62.5,43.75,nan,nan,nan
val,15,96,-2.5915992164611796,nan,nan,nan,nan,nan
train,16,96,3.471800100207329,46.93877551020408,46.808510638297875,nan,nan,nan
val,16,96,-1.3643996191024799,nan,nan,nan,nan,nan
train,17,96,2.3025001054629692,29.78723404255319,51.02040816326531,nan,nan,nan
val,17,96,-1.8603997802734378,nan,nan,nan,nan,nan
train,18,96,-6.646700019836428,38.297872340425535,63.26530612244898,nan,nan,nan
val,18,96,-4.457098083496095,nan,nan,nan,nan,nan
train,19,96,-4.7770999145507815,54.347826086956516,40.0,nan,nan,nan
val,19,96,-36.89979949951173,nan,nan,nan,nan,nan
train,20,96,-0.2664699506759646,41.66666666666667,56.25,nan,nan,nan
val,20,96,-2.0819992065429673,nan,nan,nan,nan,nan
train,21,96,14.135199890136713,50.0,35.41666666666667,0.11061310023069382,0.999924,0.4000479999999996
val,21,96,13.23850067138671,nan,nan,nan,nan,nan
train,22,96,7.027800297737121,50.0,41.66666666666667,0.029141604900360107,0.9994680000000002,0.40033599999999725
val,22,96,-3.541500217318535,nan,nan,nan,nan,nan
train,23,96,1.7040900659561158,63.829787234042556,46.93877551020408,0.026180867105722427,0.9990120000000005,0.4006239999999949
val,23,96,1.268900222778317,nan,nan,nan,nan,nan
train,24,96,0.19300005435943612,60.416666666666664,50.0,0.02506500855088234,0.9985560000000007,0.4009119999999925
val,24,96,16.696700439453124,nan,nan,nan,nan,nan
train,25,96,-10.699099617004395,56.52173913043478,42.0,0.016948532313108444,0.9981000000000009,0.4011999999999901
val,25,96,-8.503501052856446,nan,nan,nan,nan,nan
train,26,96,1.9590000343322755,51.06382978723404,63.26530612244898,0.009456910192966461,0.9976440000000011,0.40148799999998774
val,26,96,-10.186900129318236,nan,nan,nan,nan,nan
train,27,96,0.6265999221801757,50.0,56.25,0.010308886878192425,0.9971880000000013,0.40177599999998537
val,27,96,-12.861299743652346,nan,nan,nan,nan,nan
train,28,96,4.406400833129883,48.93617021276596,59.183673469387756,0.012622078880667686,0.9967320000000015,0.402063999999983
val,28,96,13.367199937701226,nan,nan,nan,nan,nan
train,29,96,0.6521998596191408,52.083333333333336,39.58333333333333,0.010462893173098564,0.9962760000000017,0.4023519999999806
val,29,96,-3.947799847126007,nan,nan,nan,nan,nan
train,30,96,9.083300628662109,34.78260869565217,56.00000000000001,0.02179916575551033,0.9958200000000019,0.40263999999997824
val,30,96,-3.8774995946884174,nan,nan,nan,nan,nan
