episode,episode_return,starts,on_steps,cap_factor
1,48.74171728919984,1,96,0.4658134826024373
2,207.41685957981116,0,96,0.4751383167505264
3,-88.12243292751316,0,96,0.5090906465053558
4,414.22204720485684,1,92,0.4113640144964059
5,-0.5088244417190504,1,96,0.4422702068090439
6,458.2857160193252,1,95,0.4729708198706309
7,116.6203811090088,0,96,0.4897463071346283
8,381.72978692663196,1,88,0.3898857432603836
9,261.34801335632324,0,96,0.46227033774058024
10,-224.05300458503729,1,94,0.4302874449888865
11,94.19723564628602,0,96,0.47903153638044993
12,225.6911474882889,1,90,0.4288642756144206
13,430.7322216971588,1,91,0.436372731924057
14,-153.27303231180002,0,96,0.5387089694539706
15,-20.613787997821813,0,96,0.42318267822265626
16,473.28983837242123,0,96,0.5255006118615468
17,56.030123035583514,1,93,0.4846819241841634
18,-123.49565658102794,0,96,0.40462079882621765
19,4.766972109771732,0,96,0.5678152636686961
20,-3.0755873778724583,0,96,0.45677288552125295
21,23.85770863243103,1,96,0.45436749935150145
22,227.88533025035866,1,93,0.47182248552640277
23,422.92621648746496,0,96,0.47348273396492
24,15.191745402450572,1,92,0.434660933415095
25,446.5264630301666,0,96,0.5066988736391067
26,372.0649047309494,1,89,0.430699498852094
27,312.866412619133,1,91,0.45361319720745086
28,-110.75590554798124,0,96,0.46811197996139525
29,-88.03195839426421,0,96,0.4902299539248149
30,35.912231878051756,0,96,0.466362992922465
31,309.6432089948273,0,96,0.49113749623298647
32,-204.37252940860762,0,96,0.4471968013048172
33,63.5003846536293,0,96,0.4534491807222366
34,-129.6083858992767,0,96,0.47239396413167317
35,-154.32498097831726,1,91,0.45437440752983094
36,-224.80318019096376,0,96,0.48331015825271606
37,-30.12147050704192,1,94,0.5110029943784078
38,-97.89519904612733,0,96,0.4705664386351903
39,243.95742791702276,0,96,0.5538816662629445
40,263.75467829933166,0,96,0.5264152201016744
41,-6.809342893676773,1,92,0.49193249344825746
42,-49.17874328456881,1,90,0.4290723103284836
43,-36.58072342041015,0,96,0.48278608520825705
44,262.2633369960022,1,96,0.5245373380184174
45,288.38655897848133,1,89,0.3494797111550967
46,-114.73390479759217,0,96,0.5144290053844451
47,-18.27305057825471,0,96,0.48296905676523844
48,-143.9979945336799,0,96,0.4465371783574422
49,117.55952002498628,1,87,0.3344266643126806
50,-24.641751684593206,1,91,0.44783735116322837
51,43.31305359489443,0,96,0.40568934082984925
52,-108.76267470451356,0,96,0.555063267548879
53,83.67585223763372,1,91,0.45609824708827434
54,202.06106148550796,0,96,0.3975535209773529
55,-121.2077008438287,0,96,0.4491292114664184
56,-101.69735896216373,0,96,0.46820511571864043
57,474.54607643038435,0,96,0.5587925540441429
58,128.01735137438993,1,95,0.5336306645807217
59,2.097845017693184,0,96,0.5180739693280016
60,313.0014381753591,0,96,0.6828669522016139
