split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,47,96,103.97597002490934,50.0,60.60606060606061,93.87149047851562,0.9951360000000022,0.4076799999999935
val,47,96,-2514.296556396197,nan,nan,nan,nan,nan
train,48,96,-1406.1885396286957,56.25,43.75,83.89170837402344,0.9942240000000027,0.40911999999999227
val,48,96,18632.624486114913,nan,nan,nan,nan,nan
train,49,96,1876.3388531293037,100.0,40.42553191489361,99.95950317382812,0.9933120000000031,0.41055999999999104
val,49,96,9827.328163856439,nan,nan,nan,nan,nan
train,50,96,-14275.908199273574,64.28571428571429,50.0,98.3746337890625,0.9924000000000035,0.4119999999999898
val,50,96,4509.519327174813,nan,nan,nan,nan,nan
train,51,96,1243.6695563433068,0.0,52.083333333333336,118.21783447265625,0.9914880000000039,0.4134399999999886
val,51,96,23097.053976778505,nan,nan,nan,nan,nan
train,52,96,488.9783696492933,48.275862068965516,55.26315789473685,203.92007446289062,0.9905760000000043,0.41487999999998737
val,52,96,-1904.0345842674442,nan,nan,nan,nan,nan
train,53,96,3928.8461190908693,77.14285714285715,68.85245901639344,148.41607666015625,0.9896640000000048,0.41631999999998615
val,53,96,17993.653416629808,nan,nan,nan,nan,nan
train,54,96,-4480.344692104858,77.77777777777779,29.88505747126437,263.02337646484375,0.9887520000000052,0.4177599999999849
val,54,96,4558.497431265337,nan,nan,nan,nan,nan
train,55,96,-10272.502886391101,88.88888888888889,55.172413793103445,84.09060668945312,0.9878400000000056,0.4191999999999837
val,55,96,-748.8989234746657,nan,nan,nan,nan,nan
train,56,96,-154.25141435389105,0.0,45.83333333333333,249.35659790039062,0.986928000000006,0.4206399999999825
val,56,96,-61.049410219187735,nan,nan,nan,nan,nan
train,57,96,267.33200763441596,50.0,52.12765957446809,215.7625274658203,0.9860160000000064,0.42207999999998125
val,57,96,-4173.018777778887,nan,nan,nan,nan,nan
train,58,96,-6136.474943803406,56.00000000000001,50.70422535211267,296.3543701171875,0.9851040000000069,0.42351999999998
val,58,96,2475.799648926437,nan,nan,nan,nan,nan
train,59,96,1651.4124792071157,50.0,43.75,123.59215545654297,0.9841920000000073,0.4249599999999788
val,59,96,-566.173794491882,nan,nan,nan,nan,nan
train,60,96,1809.1902799977513,65.0,57.89473684210527,144.5286865234375,0.9832800000000077,0.4263999999999776
val,60,96,10253.096320964312,nan,nan,nan,nan,nan
train,61,96,3179.4984603109597,37.5,50.0,150.54306030273438,0.9823680000000081,0.42783999999997635
val,61,96,-2956.2628609235644,nan,nan,nan,nan,nan
train,62,96,573.4804618661991,45.90163934426229,31.428571428571427,250.9196014404297,0.9814560000000085,0.4292799999999751
val,62,96,4948.056050806238,nan,nan,nan,nan,nan
train,63,96,-622.6312917585503,0.0,48.95833333333333,148.08267211914062,0.980544000000009,0.4307199999999739
val,63,96,13456.876056415627,nan,nan,nan,nan,nan
train,64,96,-6624.301655330494,0.0,41.66666666666667,248.62820434570312,0.9796320000000094,0.4321599999999727
val,64,96,8135.226154397333,nan,nan,nan,nan,nan
train,65,96,1663.9640384940053,50.0,46.666666666666664,132.78514099121094,0.9787200000000098,0.43359999999997145
val,65,96,2052.5928831001047,nan,nan,nan,nan,nan
train,66,96,1096.9031446864115,48.0,50.0,281.47442626953125,0.9778080000000102,0.43503999999997023
val,66,96,-5228.10465966789,nan,nan,nan,nan,nan
train,67,96,12206.969670630755,74.07407407407408,60.86956521739131,153.3670654296875,0.9768960000000106,0.436479999999969
val,67,96,16101.931261728385,nan,nan,nan,nan,nan
train,68,96,-1949.9579687976498,54.285714285714285,63.934426229508205,172.79803466796875,0.9759840000000111,0.4379199999999678
val,68,96,2450.1883519971757,nan,nan,nan,nan,nan
train,69,96,-799.7838914934932,45.714285714285715,54.09836065573771,248.27532958984375,0.9750720000000115,0.43935999999996656
val,69,96,-2258.5026250692044,nan,nan,nan,nan,nan
train,70,96,2376.5763901702267,0.0,54.166666666666664,294.201904296875,0.9741600000000119,0.44079999999996533
val,70,96,-3683.285159856895,nan,nan,nan,nan,nan
train,71,96,2670.5488194111826,60.0,48.148148148148145,221.90768432617188,0.9732480000000123,0.4422399999999641
val,71,96,-4107.6197952286675,nan,nan,nan,nan,nan
train,72,96,-153.45168214126133,50.0,45.348837209302324,256.11328125,0.9723360000000127,0.4436799999999629
val,72,96,1392.5357996816722,nan,nan,nan,nan,nan
train,73,96,-160.4027210974887,47.82608695652174,56.00000000000001,222.65380859375,0.9714240000000132,0.44511999999996166
val,73,96,-338.12846514830835,nan,nan,nan,nan,nan
train,74,96,2537.042264312976,82.92682926829268,63.63636363636363,123.60260772705078,0.9705120000000136,0.44655999999996043
val,74,96,19708.46416859289,nan,nan,nan,nan,nan
train,75,96,11919.93519429936,80.0,54.94505494505495,233.91995239257812,0.969600000000014,0.4479999999999592
val,75,96,5193.052055876154,nan,nan,nan,nan,nan
train,76,96,-413.97559858083696,50.0,43.05555555555556,364.0665283203125,0.9686880000000144,0.449439999999958
val,76,96,7617.506970316367,nan,nan,nan,nan,nan
train,77,96,-445.91018843269825,36.17021276595745,57.14285714285714,217.38192749023438,0.9677760000000148,0.45087999999995676
val,77,96,6449.132205945498,nan,nan,nan,nan,nan
train,78,96,599.1034799722404,33.33333333333333,45.0,298.0061950683594,0.9668640000000153,0.45231999999995554
val,78,96,4163.297000045854,nan,nan,nan,nan,nan
train,79,96,276.6454148884604,76.92307692307693,54.21686746987952,279.9063720703125,0.9659520000000157,0.4537599999999543
val,79,96,-3039.669192016124,nan,nan,nan,nan,nan
train,80,96,11546.50283672168,67.6056338028169,40.0,233.49395751953125,0.9650400000000161,0.4551999999999531
val,80,96,-356.67218787104224,nan,nan,nan,nan,nan
train,81,96,1297.5961141219127,33.92857142857143,42.5,224.02301025390625,0.9641280000000165,0.45663999999995186
val,81,96,646.979790718021,nan,nan,nan,nan,nan
train,82,96,250.52393133590033,0.0,46.31578947368421,213.6544647216797,0.963216000000017,0.45807999999995064
val,82,96,12287.883207792449,nan,nan,nan,nan,nan
train,83,96,991.6652315942939,46.15384615384615,64.51612903225806,143.5965576171875,0.9623040000000174,0.4595199999999494
val,83,96,8940.754207583783,nan,nan,nan,nan,nan
train,84,96,8371.31112432481,91.42857142857143,63.934426229508205,223.2364044189453,0.9613920000000178,0.4609599999999482
val,84,96,4652.739911381299,nan,nan,nan,nan,nan
train,85,96,814.0774261059429,41.66666666666667,63.095238095238095,271.2899475097656,0.9604800000000182,0.46239999999994696
val,85,96,5754.9488194234755,nan,nan,nan,nan,nan
train,86,96,10.519919125689562,42.857142857142854,39.39393939393939,426.7578125,0.9595680000000186,0.46383999999994574
val,86,96,3993.9970559218486,nan,nan,nan,nan,nan
train,87,96,315.59923013399657,41.66666666666667,47.91666666666667,310.76873779296875,0.958656000000019,0.4652799999999445
val,87,96,20785.22428809335,nan,nan,nan,nan,nan
train,88,96,1359.3824678113717,71.42857142857143,42.68292682926829,214.0946044921875,0.9577440000000195,0.4667199999999433
val,88,96,20783.64927555509,nan,nan,nan,nan,nan
train,89,96,-23.041095458455658,50.0,50.0,234.23934936523438,0.9568320000000199,0.46815999999994207
val,89,96,22102.853354766485,nan,nan,nan,nan,nan
train,90,96,-162.77486941001192,48.214285714285715,62.5,114.67863464355469,0.9559200000000203,0.46959999999994084
val,90,96,7921.93827858304,nan,nan,nan,nan,nan
train,91,96,12849.087959280132,60.0,50.54945054945055,243.49032592773438,0.9550080000000207,0.4710399999999396
val,91,96,15490.243341609877,nan,nan,nan,nan,nan
train,92,96,-1981.1120964256227,34.285714285714285,49.18032786885246,308.1865234375,0.9540960000000211,0.4724799999999384
val,92,96,7032.538541236779,nan,nan,nan,nan,nan
train,93,96,-438.50587320565666,48.0,43.66197183098591,265.0663146972656,0.9531840000000216,0.47391999999993717
val,93,96,6885.999362560424,nan,nan,nan,nan,nan
train,94,96,10978.936890254616,74.35897435897436,52.63157894736842,194.8624267578125,0.952272000000022,0.47535999999993594
val,94,96,4.855175789837894,nan,nan,nan,nan,nan
train,95,96,534.7989138782449,25.0,61.76470588235294,223.06744384765625,0.9513600000000224,0.4767999999999347
val,95,96,2929.362343072637,nan,nan,nan,nan,nan
train,96,96,691.0750281709505,15.384615384615385,41.42857142857143,329.617919921875,0.9504480000000228,0.4782399999999335
val,96,96,22013.911333148284,nan,nan,nan,nan,nan
train,97,96,523.2086637399343,23.076923076923077,50.602409638554214,310.78314208984375,0.9495360000000233,0.47967999999993227
val,97,96,-7705.644888970678,nan,nan,nan,nan,nan
train,98,96,534.3965247997601,0.0,36.45833333333333,240.76077270507812,0.9486240000000237,0.48111999999993105
val,98,96,-919.5109607709607,nan,nan,nan,nan,nan
train,99,96,60.8393249123702,58.82352941176471,53.2258064516129,272.56317138671875,0.9477120000000241,0.4825599999999298
val,99,96,-5407.9813881016125,nan,nan,nan,nan,nan
train,100,96,402.0722017261998,37.5,50.0,235.1058349609375,0.9468000000000245,0.4839999999999286
val,100,96,416.6148882390376,nan,nan,nan,nan,nan
train,101,96,-9342.76336563732,83.33333333333334,76.38888888888889,319.84014892578125,0.9458880000000249,0.4854399999999274
val,101,96,14083.406331367045,nan,nan,nan,nan,nan
train,102,96,-872.2477902358216,52.77777777777778,50.0,314.3554992675781,0.9449760000000254,0.48687999999992615
val,102,96,-624.1554571273844,nan,nan,nan,nan,nan
train,103,96,-518.3160019894052,35.714285714285715,54.41176470588235,351.2796630859375,0.9440640000000258,0.4883199999999249
val,103,96,3421.656757617538,nan,nan,nan,nan,nan
train,104,96,-2114.0757042552696,100.0,49.29577464788733,292.544921875,0.9431520000000262,0.4897599999999237
val,104,96,-14366.003171165556,nan,nan,nan,nan,nan
train,105,96,3926.6030839480545,0.0,43.75,345.881103515625,0.9422400000000266,0.4911999999999225
val,105,96,906.6126446316207,nan,nan,nan,nan,nan
train,106,96,612.6841879642329,64.28571428571429,41.46341463414634,330.05438232421875,0.941328000000027,0.49263999999992125
val,106,96,2477.235948456054,nan,nan,nan,nan,nan
train,107,96,-19.690918819243866,40.0,48.148148148148145,243.07644653320312,0.9404160000000275,0.49407999999992
val,107,96,-4137.93353819139,nan,nan,nan,nan,nan
