split,n_rows,start,end,n_missing_total,pct_missing_total
train,4902,2022-06-10 14:00:00,2022-12-31 23:00:00,1,0.00029564980871457376
val,4901,2021-11-18 06:00:00,2022-06-10 13:00:00,1,0.0002957101330991309
test,4902,2022-06-10 14:00:00,2022-12-31 23:00:00,1,0.00029564980871457376
