,EURPrices,spark_spread,DemandAggregatedForecast,WindAggregatedForecast,GasVarCost_EUR_per_MWh,GasPrice_EUR_per_MWhth,CarbonPrice,-24,-48
EURPrices,1.0,0.9867250573710509,0.24645327408744874,-0.6394270981771172,0.8321542447596434,0.8304958743737832,0.41874713060834157,0.8468302921891195,0.7795295384275287
spark_spread,0.9867250573710509,1.0,0.30298594125960815,-0.6584173044892974,0.7310496292604476,0.7304070959139034,0.36078103123070926,0.7913787989389972,0.7130147645774088
DemandAggregatedForecast,0.24645327408744874,0.30298594125960815,1.0,0.08394034405868396,0.0008740630293739767,-0.0028690763312227735,0.03301091558074022,0.21870774939254528,0.17970001990716403
WindAggregatedForecast,-0.6394270981771172,-0.6584173044892974,0.08394034405868396,1.0,-0.43827125898469976,-0.43686929637423294,-0.22514316359474898,-0.45526502846444444,-0.3850978424876436
GasVarCost_EUR_per_MWh,0.8321542447596434,0.7310496292604476,0.0008740630293739767,-0.43827125898469976,1.0,0.9952263873977438,0.5274166106698533,0.8556563193422891,0.8404800878725157
GasPrice_EUR_per_MWhth,0.8304958743737832,0.7304070959139034,-0.0028690763312227735,-0.43686929637423294,0.9952263873977438,1.0,0.441983059118802,0.8580114320654608,0.8440409518634459
CarbonPrice,0.41874713060834157,0.36078103123070926,0.03301091558074022,-0.22514316359474898,0.5274166106698533,0.441983059118802,1.0,0.39522609040062806,0.3773557958667176
-24,0.8468302921891195,0.7913787989389972,0.21870774939254528,-0.45526502846444444,0.8556563193422891,0.8580114320654608,0.39522609040062806,1.0,0.8483183005554086
-48,0.7795295384275287,0.7130147645774088,0.17970001990716403,-0.3850978424876436,0.8404800878725157,0.8440409518634459,0.3773557958667176,0.8483183005554086,1.0
