episode,episode_return,starts,on_steps,cap_factor
1,254.12637290753793,1,96,0.5364505269839254
2,213.82786108938473,1,89,0.4354060853767449
3,99.59349132662575,1,94,0.4291383579681789
4,155.75636798646505,0,96,0.4848614068182039
5,217.4015932769002,0,96,0.5229603520048275
6,394.2213304137091,1,96,0.5132529677893303
7,129.69013565479398,1,91,0.4078080217045693
8,113.97708028437998,0,96,0.4823929540515298
9,198.54787872589117,1,90,0.44203733425873004
10,119.79468688864065,1,94,0.3941845856269454
11,197.2222742196755,0,96,0.4556751247320585
12,198.03517170717893,1,92,0.508398529030064
13,244.90747447748953,1,92,0.540835270824988
14,152.51857316353332,0,96,0.45843755440911016
15,250.28963027855605,1,92,0.5177845998996793
16,182.31449953447876,1,94,0.38790042289281657
17,303.1071649297738,0,96,0.4638424862577376
18,251.82625128230853,1,93,0.42044173941444574
19,53.246506357849306,0,96,0.42873197225317133
20,431.14706469239877,0,96,0.5334960392200001
21,186.58972860976962,1,90,0.4414799440611183
22,76.41631741055724,0,96,0.447245784552787
23,309.8000874515512,0,96,0.4685546340461833
24,161.9473640943218,0,96,0.4660216668880353
25,199.93845787064697,1,89,0.40688515440094164
26,131.62328910622222,0,96,0.47513274533419564
27,239.72232428560224,1,96,0.44642268645488115
28,150.6532218243262,1,94,0.5138036173050933
29,312.47707216997,0,96,0.49616419154310376
30,278.4810591526382,0,96,0.5607749156363055
31,277.1568124281273,1,95,0.4492953260052972
32,380.86516716552984,1,95,0.4820901834600153
33,163.6424568760354,0,96,0.4209821459384422
34,381.3999570973782,0,96,0.6006570818485281
35,250.62841051732025,1,90,0.5470223096761757
36,192.88172235997436,0,96,0.49017630303989534
37,160.6796466990837,1,92,0.4410810292712469
38,356.4205452235674,0,96,0.5537140043514515
39,228.28721873093914,0,96,0.4903782022927676
40,257.29657779256934,1,96,0.5441010582069689
41,476.31365357170324,0,96,0.496132266539623
42,243.1001168452656,0,96,0.568237511718972
43,158.275097385583,0,96,0.501356264784188
44,-67.32129234786609,1,91,0.49600820788733246
45,206.16388334919623,1,92,0.4955775671797425
46,155.75100081223133,1,91,0.4485729987815703
47,184.36137668162004,1,96,0.4669447458152347
48,335.56083277949546,1,95,0.4148005412028851
49,300.35170575043963,0,96,0.4855050291106726
50,405.50870171949094,0,96,0.5092889756772059
