episode,t,reward,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,0,-5.0,79.92,50.0,204.11632801952055,1,1,1998.0,428.44960517325,300.0,10000.0,0.0
1,1,1.7344806317227999,68.0,80.0,199.61258838660342,1,0,2720.0,685.5193682772,300.0,0.0,0.0
1,2,2.0370608686188505,59.63,110.0,218.6885775484055,1,0,3279.65,942.58913138115,300.0,0.0,0.0
1,3,2.3853411055149,55.5,140.0,218.94219814777688,1,0,3885.0,1199.6588944851,300.0,0.0,0.0
1,4,2.30882134241095,47.83,170.0,200.06542086725165,1,0,4065.5499999999997,1456.72865758905,300.0,0.0,0.0
1,5,2.372961478928,44.6,200.0,210.73204901457538,1,0,4460.0,1787.038521072,300.0,0.0,0.0
1,6,2.4829557007672003,42.07,230.0,247.8668783312346,1,0,4838.05,2055.0942992328,300.0,0.0,0.0
1,7,2.5521499226063997,39.81,260.0,268.86568401424506,1,0,5175.3,2323.1500773936004,300.0,0.0,0.0
1,8,2.163290459442051,38.63,237.31562309278132,237.31562309278132,1,0,4583.751260037072,2120.460800595021,300.0,0.0,0.0
1,9,1.7202508169389346,37.36,207.31562309278132,193.76760525456262,1,0,3872.6558393731552,1852.4050224342207,300.0,0.0,0.0
1,10,1.5325228127244752,38.54,177.31562309278132,176.09337853947642,1,0,3416.872056997896,1584.3492442734207,300.0,0.0,0.0
1,11,1.7379554371111081,40.38,181.074217056941,181.074217056941,1,0,3655.888442379639,1617.933005268531,300.0,0.0,0.0
1,12,1.7492926566734415,45.0,151.074217056941,114.34797516304342,1,0,3399.1698837811723,1349.877227107731,300.0,0.0,0.0
1,13,1.7975874909683398,52.52,121.074217056941,121.03874741543476,1,0,3179.408939915271,1081.8214489469308,300.0,0.0,0.0
1,14,2.748589818409321,81.49,95.83804707107447,95.83804707107447,1,0,3904.9212279109292,856.3314095016083,300.0,0.0,0.0
1,15,2.625995330319355,83.1,89.71370871257147,89.71370871257147,1,0,3727.6045970073446,801.6092666879897,300.0,0.0,0.0
1,16,2.4948132316254115,79.92,90.0831775061481,90.0831775061481,1,0,3599.7237731456785,804.9105415202669,300.0,0.0,0.0
1,17,2.5825528875627652,77.18,97.20356127093837,97.20356127093837,1,0,3751.0854294455116,868.5325418827463,300.0,0.0,0.0
1,18,3.4062573927397226,77.18,124.97998531629699,124.97998531629699,1,0,4822.977633355901,1116.7202406161784,300.0,0.0,0.0
1,19,3.806939760906006,70.87,154.979985316297,167.65029305159567,1,0,5491.715779682984,1384.7760187769784,300.0,0.0,0.0
1,20,3.2508857319570414,60.0,168.5695798415216,168.5695798415216,1,0,5057.087395245648,1506.2016632886061,300.0,0.0,0.0
