episode,t,profit,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,0,-8127.585800000001,79.92,60.0,301.3816833496094,1,1,4795.2,1880.7858,1000.0,10000.0,42.0
1,1,3356.4284,68.0,120.0,272.44158935546875,1,0,8160.0,3761.5716,1000.0,0.0,42.0
1,2,4049.0425999999998,59.63,180.0,211.827392578125,1,0,10733.4,5642.3574,1000.0,0.0,42.0
1,3,4754.8568,55.5,240.0,322.9470520019531,1,0,13320.0,7523.1432,1000.0,0.0,42.0
1,4,2591.655306443176,47.83,218.79360961914062,218.79360961914062,1,0,10464.898348083496,6858.398568373718,1000.0,0.0,14.844473266601561
1,5,2336.582661658327,44.6,278.7936096191406,445.8865051269531,1,0,12434.194989013673,9055.612327355346,1000.0,0.0,42.0
1,6,2206.5496293219003,42.07,338.7936096191406,481.8313903808594,1,0,14253.047156677247,11004.497527355346,1000.0,0.0,42.0
1,7,1001.1612715826432,39.81,278.7936096191406,191.72076416015625,1,0,11098.773598937989,9055.612327355346,1000.0,0.0,42.0
1,8,1041.0996122320576,38.63,338.7936096191406,395.8625183105469,1,0,13087.597139587404,11004.497527355346,1000.0,0.0,42.0
1,9,318.1169280157483,37.36,278.7936096191406,264.44744873046875,1,0,10415.729255371094,9055.612327355346,1000.0,0.0,42.0
1,10,717.1116242785654,38.54,284.02227783203125,284.02227783203125,1,0,10946.218587646485,9225.446895618896,1000.0,0.0,3.6600677490234372
1,11,1675.287483238526,40.38,344.02227783203125,462.7983093261719,1,0,13891.619578857422,11174.332095618896,1000.0,0.0,42.0
1,12,2513.5556068225105,45.0,284.02227783203125,35.518028259277344,1,0,12781.002502441406,9225.446895618896,1000.0,0.0,42.0
1,13,3447.0883361193846,52.52,224.02227783203125,43.56465148925781,1,0,11765.650031738282,7276.561695618897,1000.0,0.0,42.0
1,14,6996.498924913329,81.49,164.02227783203125,10.109198570251465,1,0,13366.175420532225,5327.676495618896,1000.0,0.0,42.0
1,15,10297.689592222898,83.1,224.02227783203125,416.3099365234375,1,0,18616.251287841795,7276.561695618897,1000.0,0.0,42.0
1,16,12431.613548717041,79.92,284.02227783203125,389.078369140625,1,0,22699.060444335937,9225.446895618896,1000.0,0.0,42.0
1,17,14335.307307457277,77.18,344.02227783203125,435.0060729980469,1,0,26551.639403076173,11174.332095618896,1000.0,0.0,42.0
1,18,17017.22210745728,77.18,404.02227783203125,489.3091735839844,1,0,31182.439403076176,13123.217295618897,1000.0,0.0,42.0
