episode,t,reward,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,0,-5.0,79.92,50.0,204.27282216014555,1,1,1998.0,428.44960517325,300.0,10000.0,0.0
1,1,1.7344806317227999,68.0,80.0,199.62157581336123,1,0,2720.0,685.5193682772,300.0,0.0,0.0
1,2,2.0370608686188505,59.63,110.0,218.911600009343,1,0,3279.65,942.58913138115,300.0,0.0,0.0
1,3,2.3853411055149,55.5,140.0,219.22909389973,1,0,3885.0,1199.6588944851,300.0,0.0,0.0
1,4,2.30882134241095,47.83,170.0,200.29547762994696,1,0,4065.5499999999997,1456.72865758905,300.0,0.0,0.0
1,5,2.372961478928,44.6,200.0,210.98032477141132,1,0,4460.0,1787.038521072,300.0,0.0,0.0
1,6,2.4829557007672003,42.07,230.0,248.0505178576018,1,0,4838.05,2055.0942992328,300.0,0.0,0.0
1,7,2.5521499226063997,39.81,260.0,269.0262827691279,1,0,5175.3,2323.1500773936004,300.0,0.0,0.0
1,8,2.1629953913699036,38.63,237.28719596875789,237.28719596875789,1,0,4583.202190136559,2120.206798766655,300.0,0.0,0.0
1,9,1.7199738000905425,37.36,207.28719596875789,193.5459713434298,1,0,3872.1248206963974,1852.151020605855,300.0,0.0,0.0
1,10,1.5322290238729097,38.54,177.28719596875789,175.58062219182017,1,0,3416.3242663179644,1584.0952424450547,300.0,0.0,0.0
1,11,1.7288588200931836,40.38,180.26597425908943,180.26597425908943,1,0,3639.5700202910157,1610.711200197832,300.0,0.0,0.0
1,12,1.73832899879248,45.0,150.26597425908943,113.22450104194967,1,0,3380.984420829512,1342.6554220370322,300.0,0.0,0.0
1,13,1.7835848401674566,52.52,120.26597425908943,119.72711716641132,1,0,3158.184484043689,1074.5996438762322,300.0,0.0,0.0
1,14,2.7080888121131848,81.49,94.56482319412135,94.56482319412135,1,0,3853.043721044474,844.954908931289,300.0,0.0,0.0
1,15,2.588624860396285,83.1,88.56789572429022,88.56789572429022,1,0,3679.996067344259,791.3712069479736,300.0,0.0,0.0
1,16,2.461131224464138,79.92,88.99752992314029,88.99752992314029,1,0,3556.341295728686,795.2100712645486,300.0,0.0,0.0
1,17,2.551495793667333,77.18,96.15627428363368,96.15627428363368,1,0,3710.670624605424,859.1748309380916,300.0,0.0,0.0
