episode,episode_return,starts,on_steps,cap_factor
1,24.555423711405123,1,89,0.4710120924313863
2,47.43750340810102,1,92,0.35708103319009143
3,4.020088019883953,1,90,0.47473002870877584
4,11.229433561528127,1,91,0.46227314551671345
5,23.20096377816756,0,96,0.5277278423309326
6,19.50921094340962,1,90,0.4452489103873571
7,42.03845775230646,0,96,0.43555879284938176
8,16.116933037471092,1,87,0.40845083594322207
9,19.680551070045137,1,90,0.4487372875213623
10,59.27746384601919,1,95,0.44245651563008626
11,116.53061314399827,0,96,0.5219504833221436
12,58.1892341496139,1,96,0.5378395907084147
13,121.08639532117166,1,94,0.46263991196950277
14,22.613826590242105,0,96,0.5539601717392604
15,12.273466330744418,0,96,0.47210695286591847
16,15.29924079328806,1,91,0.47932534283205946
17,18.973821740512104,1,92,0.4241248832112231
18,27.75803339831567,1,90,0.5244580471939879
19,156.87242500509507,1,96,0.8718270519147525
20,70.77562042690887,0,96,0.9288233696188922
21,48.30008901200878,0,96,0.9367436837652716
22,136.61276611033375,0,96,0.9008355096976934
23,99.56947734747939,1,92,0.8226761962645346
24,63.995884998959426,1,90,0.8226747261183415
25,69.89740565727186,1,92,0.8900932776009486
26,33.862569475035485,1,96,0.9111670569680015
27,133.15407942366025,0,96,0.8939135514040407
28,246.3322052188377,0,96,0.932435465190793
29,50.27809168758637,0,96,0.9252201915437005
30,42.62946538500588,1,92,0.8850404070631589
31,37.063191946187885,0,96,0.8979142087937002
32,26.976895526537028,1,92,0.8762304240996465
33,184.73005125146068,1,91,0.854937631272723
34,24.32425993719253,1,94,0.8845348327649145
35,88.133501358531,1,90,0.8672833642866742
36,36.04209545081907,1,94,0.9043603855299546
37,195.25400180339346,1,90,0.8668632346402565
38,44.60446743485519,1,95,0.8857863676692904
39,21.03116708261884,0,96,0.9114606454415551
40,176.90134061900926,1,93,0.8922939713963537
41,86.89477866446978,0,96,0.9013273332539262
42,113.5939112188828,0,96,0.9262296194707937
43,37.48528895657837,0,96,0.9334502649245496
44,169.16936558872663,0,96,0.9210346846132387
45,284.6631941495983,0,96,0.9154146563286905
46,26.094240154700053,1,92,0.8756871978241116
47,73.41608400684193,1,95,0.9167302605292025
48,133.87439947543038,1,89,0.8425359562683309
49,85.14301630605017,0,96,0.9257843196932898
50,85.53788857536796,1,94,0.8911492233371774
51,180.1564157337813,1,96,0.9176157776822698
52,39.59107262385156,1,93,0.8705648292911722
53,30.767509253568974,0,96,0.8833904146978373
54,31.506424126876322,0,96,0.9274445430671623
55,48.27653177303281,0,96,0.9245569329742259
56,38.430894498734105,1,94,0.8649929094967294
57,57.741257743884425,1,90,0.8398645248902898
58,28.651488273684063,1,91,0.8716731935733819
59,32.902198222942914,0,96,0.9220725275363058
60,22.979608149416272,0,96,0.9353013339813722
