tag,run_dir,last_ep_return,best_val_return
actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,202.02213011701446,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,202.02212371755758,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,199.71378626564584,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,199.71354841479732,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,199.7134222466924,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,197.23420756380924,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,197.23413303107915,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.005__seed=1__episodes=60__warmup_steps=5000,197.23376190754772,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=1__episodes=60__warmup_steps=5000,197.23212328793767,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,70.93123364326448,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,70.89231222643386,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,70.84009495100709,
actor_lr=0.0003__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.001__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,70.63907201421509,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=45.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,70.63894856002229,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,55.24889096959569,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,50.31968870497206,
actor_lr=0.0003__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,49.96500550922759,
