episode,episode_return,starts,on_steps,cap_factor
1,25.478632364214985,1,96,0.4658134826024373
2,35.444874004930824,0,96,0.4751383167505264
3,17.555785758717715,0,96,0.5090906465053558
4,117.60258850743182,1,92,0.4113640144964059
5,21.378793674086516,1,96,0.4422702068090439
6,77.48960940532805,1,95,0.4729708198706309
7,35.5062921521332,0,96,0.4897463071346283
8,84.57821423608829,1,88,0.3898857432603836
9,48.63974994519301,0,96,0.46227033774058024
10,1.2032943190277166,1,94,0.4302874449888865
11,120.75445511981822,0,96,0.4703303494056066
12,69.64235503259718,1,96,0.46775976061820984
13,60.60618801837546,1,94,0.5155978411436081
14,19.225836759906045,0,96,0.5373802804946899
15,37.003244714406364,1,87,0.4654248688618342
16,123.89419585535677,0,96,0.5794991953308802
17,72.2095559529186,1,94,0.9003007501353306
18,86.02445801262932,1,90,0.8410225809435662
19,21.376781447476553,0,96,0.8891782873091775
20,64.88442581560653,1,94,0.8941660432249656
21,61.492329692415,0,92,0.695445214612488
22,52.43517116549119,2,78,0.4112378337657873
23,246.88618863305763,0,96,0.9299945984685981
24,30.919964781094396,0,96,0.9006744864841433
25,108.53749799682817,0,96,0.922034087230925
26,40.9142928351722,0,96,0.8597065344685164
27,40.91178575765792,1,96,0.8914154433860386
28,44.51121805935274,1,96,0.9265052309822731
29,31.731706827694673,0,96,0.8953976087808622
30,313.4768674127653,0,96,0.9464043393127035
31,24.927559765628427,1,92,0.8889021337530228
32,34.948715427119595,0,96,0.9289570900772397
33,312.6520857247119,0,96,0.918965754636837
34,44.786111370863985,1,89,0.8202481675497544
35,129.41148518413658,0,96,0.919823050257743
36,178.67842491256926,0,96,0.8725401461310791
37,43.262796562910644,1,94,0.8886641975843474
38,66.00437965542258,0,96,0.9013193562271461
39,169.73536825163768,1,89,0.8282945515754757
40,158.6058396303572,1,92,0.8625526840446353
41,44.46988767676809,1,90,0.84527096523787
42,53.91103182243553,1,92,0.8392081547383785
43,14.406288675657485,1,91,0.870350543571406
44,230.1178477652851,1,93,0.877451213682937
45,21.982600474286706,0,96,0.9150048582768443
46,236.64419497679617,0,96,0.8962194435082615
47,34.1495203011514,0,96,0.9045782373623937
48,120.90255737107927,0,96,0.919988725011785
49,27.8571702405333,1,91,0.882994963386462
50,38.80096972758404,1,89,0.852431397329507
51,79.40382334458558,0,96,0.9326735292045369
52,65.85250082830552,0,96,0.9102573370208491
53,82.14959845180137,0,96,0.919443336502015
54,151.719065936878,0,96,0.9096117869777803
55,33.171961921486876,0,96,0.9279949650490045
56,69.76894288735886,1,92,0.8879728841060693
57,63.59929572194808,0,96,0.9050567247928306
58,90.2728108490751,0,96,0.9199516171187117
59,27.91947047243078,0,96,0.9413708818404893
60,56.19222303369135,1,91,0.8691402547075796
