episode,episode_return,starts,on_steps,cap_factor
1,25.478632364214985,1,96,0.4658134826024373
2,35.444874004930824,0,96,0.4751383167505264
3,17.555785758717715,0,96,0.5090906465053558
4,117.60258850743182,1,92,0.4113640144964059
5,21.378793674086516,1,96,0.4422702068090439
6,77.48960940532805,1,95,0.4729708198706309
7,35.5062921521332,0,96,0.4897463071346283
8,84.57821423608829,1,88,0.3898857432603836
9,48.63974994519301,0,96,0.46227033774058024
10,1.2032943190277166,1,94,0.4302874449888865
11,120.75445511981822,0,96,0.4703303494056066
12,69.64235503259718,1,96,0.46775976061820984
13,60.60618801837546,1,94,0.5155978411436081
14,19.225836759906045,0,96,0.5373802804946899
15,37.003244714406364,1,87,0.4654248688618342
16,101.56599787039391,0,96,0.47657841795395245
17,20.990389247912542,2,81,0.28004559972278587
18,19.487974451343323,2,81,0.2053295676910235
19,10.93820165778381,0,96,0.41720518042235694
20,49.55717489066574,1,94,0.6941017048956457
21,66.26631363597863,0,96,0.795128592692983
22,67.635667022313,0,96,0.547559882200664
23,67.00643446207732,2,78,0.26633724408515763
24,1.4072570669173399,3,53,0.09124491843165203
25,39.25874267932923,0,96,0.32143092095907844
26,4.64724004920339,3,57,0.09562291530549105
27,3.299816537337312,4,69,0.12116857957448533
28,7.8048080329068545,2,87,0.22318309852674847
29,2.448533592613406,4,60,0.11175744136582028
30,186.77775878824377,0,96,0.543927548245716
31,3.88117795844999,2,83,0.18774073217194917
32,5.515446378963946,2,78,0.16002960458608537
33,157.62977512138116,0,96,0.433718168390542
34,5.3630331882388145,4,61,0.1130905850216562
35,55.91843647402342,0,96,0.3917764812675838
36,67.31822389921268,1,87,0.3025775632444807
37,6.483562882422405,3,76,0.16600384838800325
38,9.695002342571202,2,78,0.157957333955859
39,69.69093336937871,1,89,0.30793606530768064
40,61.5655526427902,1,92,0.324239445912686
41,6.672805677933328,3,58,0.15407860245702745
42,7.459021996049948,2,82,0.14954814538872988
43,2.531908258840084,1,65,0.12488753585612332
44,137.10468202904616,1,93,0.466479205650218
45,5.879023230300885,2,77,0.26131264790194525
46,193.95547615695085,0,96,0.709044855748789
47,25.90716575791609,0,96,0.6864474009407111
48,117.59250064202776,0,96,0.8930857819140279
49,22.534504707664315,1,91,0.7017795909448084
50,37.922156509729774,1,89,0.8249721290702771
51,79.1614470435484,0,96,0.9280597196401789
52,67.97538172236045,0,96,0.874476667818873
53,82.03141746942283,0,96,0.9180154126637176
54,151.6700683174272,0,96,0.9092926605307385
55,35.78310244276776,0,96,0.7839945345869048
56,69.76537981565647,1,92,0.88793273362262
57,63.59259739252742,0,96,0.9049198941250948
58,90.36088830340704,0,96,0.9158482092593278
59,28.414258783308696,0,96,0.79063404747586
60,56.19458130622946,1,91,0.8686588708155267
