episode,episode_return,starts,on_steps,cap_factor
1,24.555423711405123,1,89,0.4710120924313863
2,47.43750340810102,1,92,0.35708103319009143
3,4.020088019883953,1,90,0.47473002870877584
4,11.229433561528127,1,91,0.46227314551671345
5,23.20096377816756,0,96,0.5277278423309326
6,19.50921094340962,1,90,0.4452489103873571
7,42.03845775230646,0,96,0.43555879284938176
8,16.116933037471092,1,87,0.40845083594322207
9,19.680551070045137,1,90,0.4487372875213623
10,59.27746384601919,1,95,0.44245651563008626
11,116.53061314399827,0,96,0.5219504833221436
12,58.1892341496139,1,96,0.5378395907084147
13,121.08639532117166,1,94,0.46263991196950277
14,22.613826590242105,0,96,0.5539601717392604
15,12.273466330744418,0,96,0.47210695286591847
16,17.103408935413366,1,91,0.5293588334714757
17,41.032399488942296,1,92,0.8718825083941081
18,45.63345065803324,1,90,0.8453399499583282
19,160.14131442860753,1,96,0.8917603375899129
20,70.8715768637092,0,96,0.929973314284937
21,48.309781097421954,0,96,0.9369277111191942
22,136.65375706205836,0,96,0.9011519724860455
23,99.61562796424528,1,92,0.8230705396082533
24,64.0290685395138,1,90,0.8231659804480228
25,69.90424962634205,1,92,0.8901646863495752
26,33.871084972358844,1,96,0.9113653369845827
27,133.22395127035014,0,96,0.8945932851572451
28,246.35797914329788,0,96,0.9326288139164298
29,50.31120731617733,0,96,0.9257564182516126
30,42.6378512054653,1,92,0.8851913312064983
31,37.119726135840494,0,96,0.8988695655505463
32,26.978678246553834,1,92,0.8762885592912459
33,184.73487036349562,1,91,0.85496687887455
34,24.332742709361444,1,94,0.8846967960687984
35,88.15312646018288,1,90,0.8675102600958478
36,36.04501929117194,1,94,0.9044165433353999
37,195.25617378193184,1,90,0.866873721084094
38,44.60955066363165,1,95,0.8858763452515861
39,21.03237859053523,0,96,0.9115010391119551
40,176.90165641771856,1,93,0.8922961004742651
41,86.90839456496667,0,96,0.9014761302891435
42,113.59875171666482,0,96,0.926287400213439
43,37.48564373790339,0,96,0.9334586445428764
44,169.1721461845623,0,96,0.9210530603278587
45,284.66332136757956,0,96,0.9154153143639687
46,26.094332690860675,1,92,0.8756898236073961
47,73.41638551788078,1,95,0.9167336190522535
48,133.8752955203764,1,89,0.8425425922521159
49,85.14376678950795,0,96,0.9257936585490332
50,85.53939176200251,1,94,0.8911643279488921
51,180.15673667042736,1,96,0.9176179210652958
52,39.59123856540582,1,93,0.8705676863404784
53,30.767617504001247,0,96,0.8833925421862915
54,31.506472395172235,0,96,0.9274457001919996
55,48.276764615000126,0,96,0.9245616941932506
56,38.430941480195294,1,94,0.8649937352197415
57,57.74141042931141,1,90,0.8398669527861538
58,28.651494746237695,1,91,0.8716733795398737
59,32.902242219492564,0,96,0.9220732284869283
60,22.979610940461676,0,96,0.9353014015333029
