split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,1,96,1149.9701802431791,37.28813559322034,37.83783783783784,nan,nan,nan
val,1,96,-923.2745343229781,nan,nan,nan,nan,nan
train,2,96,-90.11124857746157,43.02325581395349,50.0,nan,nan,nan
val,2,96,32504.175059882164,nan,nan,nan,nan,nan
train,3,96,1173.5210076836572,63.63636363636363,42.857142857142854,nan,nan,nan
val,3,96,-815.6542487809503,nan,nan,nan,nan,nan
train,4,96,-861.1922912035047,41.17647058823529,41.77215189873418,nan,nan,nan
val,4,96,1135.9784009734594,nan,nan,nan,nan,nan
train,5,96,41.27825715898584,41.66666666666667,66.66666666666666,nan,nan,nan
val,5,96,1811.2403272822255,nan,nan,nan,nan,nan
train,6,96,303.9056173640871,42.10526315789473,44.15584415584416,nan,nan,nan
val,6,96,7043.900420761679,nan,nan,nan,nan,nan
train,7,96,677.7550889986361,39.285714285714285,42.5,nan,nan,nan
val,7,96,4322.139602914171,nan,nan,nan,nan,nan
train,8,96,958.0145534051633,50.0,44.565217391304344,nan,nan,nan
val,8,96,19342.145758000996,nan,nan,nan,nan,nan
train,9,96,3427.7154312904095,63.41463414634146,78.18181818181819,nan,nan,nan
val,9,96,13866.25260450048,nan,nan,nan,nan,nan
train,10,96,1951.7466283023266,63.1578947368421,51.94805194805194,nan,nan,nan
val,10,96,-3595.2856586747116,nan,nan,nan,nan,nan
train,11,96,-783.2584206530671,100.0,59.78260869565217,nan,nan,nan
val,11,96,12007.851350603743,nan,nan,nan,nan,nan
train,12,96,-223.58382530297925,45.83333333333333,54.166666666666664,nan,nan,nan
val,12,96,952.1727342002413,nan,nan,nan,nan,nan
train,13,96,773.078786718104,54.54545454545454,61.53846153846154,nan,nan,nan
val,13,96,19533.017224283838,nan,nan,nan,nan,nan
train,14,96,3304.154162610615,40.0,43.42105263157895,nan,nan,nan
val,14,96,-222.8059017987384,nan,nan,nan,nan,nan
train,15,96,3940.4913710256874,0.0,51.578947368421055,nan,nan,nan
val,15,96,9078.380057956281,nan,nan,nan,nan,nan
train,16,96,1021.1344256228159,35.714285714285715,54.41176470588235,nan,nan,nan
val,16,96,8398.048578895134,nan,nan,nan,nan,nan
train,17,96,3039.9598021666397,41.81818181818181,46.34146341463415,nan,nan,nan
val,17,96,32110.909526895826,nan,nan,nan,nan,nan
train,18,96,-1041.3095859174473,44.44444444444444,27.450980392156865,nan,nan,nan
val,18,96,13525.432828876186,nan,nan,nan,nan,nan
train,19,96,-5146.092431667508,62.0,50.0,nan,nan,nan
val,19,96,-4667.660841733494,nan,nan,nan,nan,nan
train,20,96,1319.5456129334875,66.66666666666666,52.68817204301075,nan,nan,nan
val,20,96,5656.656627818459,nan,nan,nan,nan,nan
train,21,96,-631.7884586970936,86.95652173913044,67.12328767123287,79.35179138183594,0.9996960000000001,0.4000960000000001
val,21,96,810.4828870287365,nan,nan,nan,nan,nan
train,22,96,13588.71504050899,66.07142857142857,57.49999999999999,141.60821533203125,0.997872000000001,0.4006720000000007
val,22,96,-1634.8013449288514,nan,nan,nan,nan,nan
train,23,96,-459.5042150817038,70.0,46.96969696969697,199.71449279785156,0.9960480000000018,0.40124800000000127
val,23,96,-936.1318176143064,nan,nan,nan,nan,nan
train,24,96,1217.3453674458344,75.0,40.21739130434783,115.03468322753906,0.9942240000000027,0.40182400000000185
val,24,96,1809.0391903428326,nan,nan,nan,nan,nan
train,25,96,-3011.532724736716,70.0,50.0,187.5281524658203,0.9924000000000035,0.4024000000000024
val,25,96,11689.586840292332,nan,nan,nan,nan,nan
train,26,96,-2276.1667916355004,51.724137931034484,31.57894736842105,100.71653747558594,0.9905760000000043,0.402976000000003
val,26,96,-4137.5590725899265,nan,nan,nan,nan,nan
train,27,96,-146.07088468503608,46.15384615384615,50.0,129.3133087158203,0.9887520000000052,0.4035520000000036
val,27,96,8722.444667102554,nan,nan,nan,nan,nan
train,28,96,-11580.861176223136,59.09090909090909,58.108108108108105,127.92831420898438,0.986928000000006,0.40412800000000415
val,28,96,9279.581217906447,nan,nan,nan,nan,nan
train,29,96,3050.227242784572,0.0,51.578947368421055,158.818603515625,0.9851040000000069,0.4047040000000047
val,29,96,20499.310433327893,nan,nan,nan,nan,nan
train,30,96,-1145.9712652299163,58.620689655172406,53.73134328358209,215.44027709960938,0.9832800000000077,0.4052800000000053
val,30,96,7424.628370282078,nan,nan,nan,nan,nan
