episode,episode_return,starts,on_steps,cap_factor
1,25.478632364214985,1,96,0.4658134826024373
2,35.444874004930824,0,96,0.4751383167505264
3,17.555785758717715,0,96,0.5090906465053558
4,117.60258850743182,1,92,0.4113640144964059
5,21.378793674086516,1,96,0.4422702068090439
6,77.48960940532805,1,95,0.4729708198706309
7,35.5062921521332,0,96,0.4897463071346283
8,84.57821423608829,1,88,0.3898857432603836
9,48.63974994519301,0,96,0.46227033774058024
10,1.2032943190277166,1,94,0.4302874449888865
11,120.75445511981822,0,96,0.4703303494056066
12,69.64235503259718,1,96,0.46775976061820984
13,60.60618801837546,1,94,0.5155978411436081
14,19.225836759906045,0,96,0.5373802804946899
15,37.003244714406364,1,87,0.4654248688618342
16,104.28850196522332,0,96,0.48943678015971603
17,52.25460359247816,1,94,0.6479113932766385
18,64.78365168982397,1,90,0.6286995854932151
19,19.32888570530241,0,96,0.7850640896490826
20,61.454276729563496,1,94,0.8607157866304218
21,73.85346723242242,0,96,0.8933090738544602
22,101.76174210958935,0,96,0.8666048360636152
23,239.8058094910091,0,96,0.907051765949731
24,28.489448969792097,0,96,0.843917879244651
25,103.85880735161054,0,96,0.8798893146132117
26,32.88751170451645,0,96,0.6666271709756143
27,24.20352576793037,1,96,0.5470763509317401
28,24.086861136471782,1,96,0.5665093617216324
29,10.323103774073523,1,87,0.3105512525824874
30,277.52072490565024,0,96,0.8315690971079629
31,10.419222229149648,1,92,0.4120473768180353
32,9.830348732371192,2,78,0.31303256463832174
33,289.3994693623857,0,96,0.8462216823752325
34,14.817041946528706,2,80,0.271186420722854
35,98.0810570499906,0,96,0.701021054451426
36,104.61029979115743,0,96,0.48784756183207273
37,17.11294995159486,2,85,0.38399280763963906
38,28.788378191691145,1,87,0.41660496721133883
39,155.02921654482333,1,89,0.7524213469552282
40,143.3271885208855,1,92,0.7707220117542775
41,30.444978913777643,1,90,0.586183442868681
42,34.34499092159903,1,92,0.5649886310768516
43,12.156472145194725,1,91,0.6371453652916901
44,217.24868990356242,1,93,0.8168685121828085
45,17.35240300888995,0,96,0.7088321732631738
46,213.21525016653572,0,96,0.8017520414187729
47,28.810420200276777,0,96,0.786260453166544
48,113.84290512090642,0,96,0.8663499909192711
49,26.968964734343313,1,91,0.8532825307478707
50,37.32090792450319,1,89,0.8208351509058558
51,77.25045887216899,0,96,0.9030558683850036
52,62.92541464087212,0,96,0.8607913207589839
53,77.97240589729451,0,96,0.8768832861385427
54,144.2222226534053,0,96,0.865483993867406
55,32.383743068651604,0,96,0.8958619865732319
56,68.1201157175126,1,92,0.8718783680795933
57,57.295016662644294,0,96,0.8155635877205792
58,83.15395332124739,0,96,0.786010175392627
59,26.31152119808959,0,96,0.839725557193886
60,47.6710707236341,1,91,0.7205846930650832
