split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,1,48,-625.5705433835477,26.923076923076923,13.636363636363635,nan,nan,nan
val,1,48,-4083.1268863348587,nan,nan,nan,nan,nan
train,2,48,870.1435683972549,42.857142857142854,66.66666666666666,nan,nan,nan
val,2,48,17331.066789015815,nan,nan,nan,nan,nan
train,3,48,278.4369579540636,57.14285714285714,29.411764705882355,nan,nan,nan
val,3,48,-4623.305654330998,nan,nan,nan,nan,nan
train,4,48,-1843.0896746383798,100.0,57.446808510638306,nan,nan,nan
val,4,48,2995.808288903468,nan,nan,nan,nan,nan
train,5,48,-878.8021297825622,36.84210526315789,80.0,nan,nan,nan
val,5,48,3053.5042518205305,nan,nan,nan,nan,nan
train,6,48,28.808806615543517,58.82352941176471,45.16129032258064,nan,nan,nan
val,6,48,8016.84976909576,nan,nan,nan,nan,nan
train,7,48,683.850572419361,69.56521739130434,32.0,nan,nan,nan
val,7,48,3942.0226976492213,nan,nan,nan,nan,nan
train,8,48,216.79439019357682,0.0,50.0,nan,nan,nan
val,8,48,1982.4193542387416,nan,nan,nan,nan,nan
train,9,48,2096.5396032258072,68.42105263157895,93.10344827586206,nan,nan,nan
val,9,48,8150.742418054281,nan,nan,nan,nan,nan
train,10,48,868.6833911570922,45.45454545454545,67.56756756756756,nan,nan,nan
val,10,48,-1894.9266561864463,nan,nan,nan,nan,nan
train,11,48,4872.455924717864,25.0,50.0,nan,nan,nan
val,11,48,12780.311876430018,nan,nan,nan,nan,nan
train,12,48,695.2942537115703,44.44444444444444,58.333333333333336,nan,nan,nan
val,12,48,1933.287821308057,nan,nan,nan,nan,nan
train,13,48,53.516175921287484,53.57142857142857,40.0,nan,nan,nan
val,13,48,19979.719168973883,nan,nan,nan,nan,nan
train,14,48,1348.3638940698252,56.25,40.625,nan,nan,nan
val,14,48,3591.175424472735,nan,nan,nan,nan,nan
train,15,48,2640.323072928006,0.0,70.2127659574468,nan,nan,nan
val,15,48,6767.04633449116,nan,nan,nan,nan,nan
train,16,48,2307.2698206367863,52.94117647058824,45.16129032258064,nan,nan,nan
val,16,48,9846.333130246769,nan,nan,nan,nan,nan
train,17,48,1873.9116758248856,50.0,42.857142857142854,nan,nan,nan
val,17,48,16031.99963697929,nan,nan,nan,nan,nan
train,18,48,-228.5566849006883,20.0,27.27272727272727,nan,nan,nan
val,18,48,1062.2316684857383,nan,nan,nan,nan,nan
train,19,48,3432.836354655119,21.73913043478261,60.0,nan,nan,nan
val,19,48,-8730.856425952314,nan,nan,nan,nan,nan
train,20,48,1131.5939972771791,0.0,71.73913043478261,nan,nan,nan
val,20,48,4889.835396396867,nan,nan,nan,nan,nan
train,21,48,-1020.5096142974755,80.0,50.0,315.4560546875,0.999924,0.4001199999999999
val,21,48,1830.333679393886,nan,nan,nan,nan,nan
train,22,48,-72.1224343304832,43.75,50.0,177.79617309570312,0.9994680000000002,0.4008399999999993
val,22,48,-3213.384202573431,nan,nan,nan,nan,nan
train,23,48,-1819.8268073557713,87.5,31.25,185.55728149414062,0.9990120000000005,0.4015599999999987
val,23,48,-206.23485359564967,nan,nan,nan,nan,nan
train,24,48,-96.72248465837636,75.0,50.0,144.7586669921875,0.9985560000000007,0.4022799999999981
val,24,48,890.5306038312189,nan,nan,nan,nan,nan
train,25,48,-3049.998183342409,75.0,27.500000000000004,145.17581176757812,0.9981000000000009,0.40299999999999747
val,25,48,10457.789855930456,nan,nan,nan,nan,nan
train,26,48,-104.12535471751012,57.14285714285714,50.0,209.9013671875,0.9976440000000011,0.40371999999999686
val,26,48,1011.9862819855415,nan,nan,nan,nan,nan
train,27,48,-64.28659640570815,65.0,39.285714285714285,187.13250732421875,0.9971880000000013,0.40443999999999625
val,27,48,12372.819994181265,nan,nan,nan,nan,nan
train,28,48,-3875.585198990937,16.666666666666664,59.523809523809526,145.2561798095703,0.9967320000000015,0.40515999999999563
val,28,48,1341.2357941780078,nan,nan,nan,nan,nan
train,29,48,3165.3203399447602,0.0,59.57446808510638,218.53433227539062,0.9962760000000017,0.405879999999995
val,29,48,8257.931565429679,nan,nan,nan,nan,nan
train,30,48,255.6741347641347,69.23076923076923,74.28571428571429,131.92025756835938,0.9958200000000019,0.4065999999999944
val,30,48,9340.611354914128,nan,nan,nan,nan,nan
train,31,48,338.0019865641786,50.0,52.27272727272727,94.10061645507812,0.9953640000000021,0.4073199999999938
val,31,48,-1927.4609561058119,nan,nan,nan,nan,nan
train,32,48,685.7410970666909,50.0,35.714285714285715,147.27349853515625,0.9949080000000023,0.4080399999999932
val,32,48,7824.0921165540185,nan,nan,nan,nan,nan
train,33,48,-3626.542098882747,0.0,65.95744680851064,122.55284118652344,0.9944520000000026,0.4087599999999926
val,33,48,-4263.396498849249,nan,nan,nan,nan,nan
train,34,48,-334.96138668405933,59.523809523809526,66.66666666666666,187.26873779296875,0.9939960000000028,0.40947999999999196
val,34,48,1770.590692355966,nan,nan,nan,nan,nan
train,35,48,180.7987703478247,34.61538461538461,63.63636363636363,168.26446533203125,0.993540000000003,0.41019999999999135
val,35,48,10157.181000391443,nan,nan,nan,nan,nan
train,36,48,527.43401267509,77.77777777777779,38.46153846153847,141.3935089111328,0.9930840000000032,0.41091999999999074
val,36,48,5135.241935070908,nan,nan,nan,nan,nan
train,37,48,195.0502355015243,50.0,55.00000000000001,194.26870727539062,0.9926280000000034,0.4116399999999901
val,37,48,2021.0101341926609,nan,nan,nan,nan,nan
train,38,48,-244.70445248989108,53.65853658536586,28.57142857142857,243.32955932617188,0.9921720000000036,0.4123599999999895
val,38,48,-81.36801764206442,nan,nan,nan,nan,nan
train,39,48,-32.80275365632994,100.0,46.51162790697674,259.95623779296875,0.9917160000000038,0.4130799999999889
val,39,48,2390.8475795097615,nan,nan,nan,nan,nan
train,40,48,-115.48699842457162,0.0,47.91666666666667,193.73638916015625,0.991260000000004,0.4137999999999883
val,40,48,1895.0735921198136,nan,nan,nan,nan,nan
train,41,48,-194.0373836710521,83.33333333333334,50.0,139.4207763671875,0.9908040000000042,0.4145199999999877
val,41,48,12315.817368492662,nan,nan,nan,nan,nan
train,42,48,1076.709322102124,44.0,65.21739130434783,147.38027954101562,0.9903480000000044,0.41523999999998706
val,42,48,8769.056716789955,nan,nan,nan,nan,nan
train,43,48,-2132.9169481191448,100.0,50.0,173.74639892578125,0.9898920000000047,0.41595999999998645
val,43,48,1422.8993537345546,nan,nan,nan,nan,nan
train,44,48,-33.33054836948838,50.0,55.55555555555556,232.16372680664062,0.9894360000000049,0.41667999999998584
val,44,48,-1190.6319302379054,nan,nan,nan,nan,nan
train,45,48,-2094.9607969201274,41.66666666666667,72.22222222222221,184.67225646972656,0.9889800000000051,0.4173999999999852
val,45,48,-152.40735249228985,nan,nan,nan,nan,nan
train,46,48,-565.5323217352825,50.0,54.761904761904766,154.40716552734375,0.9885240000000053,0.4181199999999846
val,46,48,-1040.8460554645549,nan,nan,nan,nan,nan
train,47,48,-509.3653583233641,26.31578947368421,37.93103448275862,293.923583984375,0.9880680000000055,0.418839999999984
val,47,48,-2400.346747000274,nan,nan,nan,nan,nan
train,48,48,-815.7430973514181,66.66666666666666,53.333333333333336,173.35171508789062,0.9876120000000057,0.4195599999999834
val,48,48,15438.651239799761,nan,nan,nan,nan,nan
